                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97701,                 1.8887,                  1.387,                0.02271,                      1,                0.17429,                0.09636,                 1.7873,                 4.0024,                 3.0207,             0.00025052,             0.00025052,             0.00025052
                     35,                 0.7979,                 1.9275,                 1.3693,                0.03258,                    0.8,                0.30987,                0.11459,                 1.7828,                 3.9584,                 2.9937,             0.00024216,             0.00024216,             0.00024216
                     36,                0.87986,                 1.7567,                 1.4341,                0.03258,                    0.8,                0.30987,                0.11459,                 1.7828,                 3.9584,                 2.9937,             0.00023293,             0.00023293,             0.00023293
                     37,                0.97711,                 1.9934,                 1.3694,                0.93156,                    0.2,                0.32693,                0.13352,                 1.6852,                 3.8187,                 2.8336,             0.00022281,             0.00022281,             0.00022281
                     38,                0.80238,                 1.7521,                 1.3374,                0.97086,                    0.2,                0.36732,                0.16227,                 1.5664,                 3.9737,                 2.7106,             0.00021181,             0.00021181,             0.00021181
                     39,                0.84383,                 1.6528,                 1.3621,                0.97086,                    0.2,                0.36732,                0.16227,                 1.5664,                 3.9737,                 2.7106,             0.00019994,             0.00019994,             0.00019994
                     40,                0.95071,                 2.6738,                 1.5371,                0.98163,                    0.2,                0.39634,                0.18081,                 1.6481,                 3.8358,                 2.7291,             0.00018718,             0.00018718,             0.00018718
                     41,                 1.4759,                 3.2402,                 2.4131,                0.97992,                    0.2,                0.45438,                0.18928,                  1.678,                 3.6082,                 2.7515,             0.00017354,             0.00017354,             0.00017354
                     42,                0.81584,                 2.3729,                 1.6291,                0.97992,                    0.2,                0.45438,                0.18928,                  1.678,                 3.6082,                 2.7515,             0.00015903,             0.00015903,             0.00015903
                     43,                0.79799,                  2.401,                 1.4365,                0.73676,                0.36121,                0.54725,                0.24375,                 1.6022,                 3.4834,                 2.7277,             0.00014363,             0.00014363,             0.00014363
                     44,                0.70877,                 2.5374,                 1.4126,                0.73676,                0.36121,                0.54725,                0.24375,                 1.6022,                 3.4834,                 2.7277,             0.00012736,             0.00012736,             0.00012736
                     45,                0.88373,                 2.4638,                 1.4679,                 0.5831,                0.45702,                0.66333,                0.28503,                 1.6116,                 3.4389,                 2.7662,              0.0001102,              0.0001102,              0.0001102
                     46,                0.70079,                 2.1056,                 1.4101,                 0.5831,                0.45702,                0.66333,                0.28503,                 1.6116,                 3.4389,                 2.7662,             9.2164e-05,             9.2164e-05,             9.2164e-05
                     47,                0.71824,                 2.2755,                 1.4126,                0.63467,                0.78139,                0.66333,                0.34868,                 1.6816,                 3.4902,                 2.8113,             7.3248e-05,             7.3248e-05,             7.3248e-05
                     48,                0.74302,                 2.2727,                 1.3323,                0.63467,                0.78139,                0.66333,                0.34868,                 1.6816,                 3.4902,                 2.8113,             5.3452e-05,             5.3452e-05,             5.3452e-05
                     49,                0.55107,                 1.9593,                 1.2882,                0.56661,                0.79192,                0.66333,                0.32478,                 1.7121,                 3.4448,                 2.9534,             3.2777e-05,             3.2777e-05,             3.2777e-05
